Time (seconds),ADC Value
0.22642993927001953,72
0.22728800773620605,73
0.22793841361999512,74
0.22902536392211914,75
0.22986793518066406,76
0.23060941696166992,77
0.23150229454040527,78
0.2325458526611328, 79
0.23331069946289062,80
0.23393940925598145,81
0.23462581634521484,82
0.23526978492736816,83
0.23612618446350098,84
0.23683834075927734,53
0.23740291595458984,54
0.23795390129089355,55
0.23926496505737305,56
0.23996353149414062,57
0.2408158779144287, 58
0.241607666015625, 59
0.2429637908935547,60
0.2439582347869873,61
0.2447667121887207,62
0.24577736854553223,63
0.24675440788269043,64
0.2475757598876953,65
0.24839353561401367,66
0.2491002082824707,67
0.24968361854553223,68
0.2503986358642578,69
0.25115513801574707,70
0.2518739700317383,71
0.25273633003234863,72
0.25368189811706543,73
0.25476503372192383,74
0.2564375400543213,75
0.25821352005004883,76
0.2591063976287842,77
0.26046013832092285,78
0.26150989532470703,79
0.2629241943359375,80
0.26372694969177246,81
0.2644672393798828,82
0.2651479244232178,83
0.2657475471496582,84
1.5167837142944336,1
1.5251095294952393,2
1.5332458019256592,3
1.5455431938171387,4
1.553757905960083,5
1.566270351409912,6
1.5742664337158203,7
1.587249517440796,8
1.601557731628418,9
1.6087782382965088,10
1.6159136295318604,11
1.6289374828338623,12
1.6357176303863525,13
1.6479051113128662,14
1.6562471389770508,15
1.668755292892456,16
1.676666021347046,17
1.6889376640319824,18
1.6972384452819824,19
1.7158548831939697,20
1.7213959693908691,21
1.731032133102417,22
1.7391414642333984,23
1.750251293182373,24
1.7585830688476562,25
1.7709696292877197,26
1.7791569232940674,27
1.7912964820861816,28
1.799764633178711,29
1.807744026184082,30
1.820674180984497,31
1.8357608318328857,32
1.8425571918487549,33
1.8511040210723877,34
1.8635168075561523,35
1.869260549545288,36
1.8817498683929443,37
1.8896279335021973,38
1.9019896984100342,39
1.9104104042053223,40
1.9226422309875488,41
1.9307522773742676,42
1.9490983486175537,43
1.9520208835601807,44
1.963240146636963,45
1.9728960990905762,46
1.983708143234253,47
1.9919800758361816,48
2.0001986026763916,49
2.012535572052002,50
2.0207266807556152,51
2.0329136848449707,52
2.041221857070923,53
2.054149627685547,54
2.068128824234009,55
2.075021505355835,56
2.085517168045044,57
2.09435772895813,58
2.1026296615600586,59
2.114957809448242,60
2.12317156791687,61
2.135540246963501,62
2.1438283920288086,63
2.156040668487549,64
2.1727685928344727,65
2.1774730682373047,66
2.1863486766815186,67
2.198239326477051,68
2.2050111293792725,69
2.213205575942993,70
2.2258331775665283,71
2.233692169189453,72
2.2460978031158447,73
2.25415301322937,74
2.2664923667907715,75
2.2746376991271973,76
2.296462059020996,77
2.3048715591430664,78
2.3128490447998047,79
2.3247501850128174,80
2.333707809448242,81
2.3424088954925537,82
2.3523359298706055,83
2.358052968978882,84
2.3687195777893066,85
2.3771212100982666,86
2.394658327102661,87
2.417370319366455,88
2.4252524375915527,89
2.4304206371307373,90
2.439697504043579,91
2.449322462081909,92
2.4554271697998047,93
2.4659998416900635,94
2.4713501930236816,95
2.479494333267212,96
2.4877307415008545,97
2.520305633544922,98
2.5290167331695557,99
2.5362040996551514,100
2.550715446472168,100
2.5572497844696045,99
2.5609827041625977,98
2.5681233406066895,97
2.571589469909668,96
2.5816991329193115,95
2.5900909900665283,94
2.6022348403930664,93
2.6122994422912598,92
2.627046585083008,91
2.632598876953125,90
2.639922857284546,89
2.6517534255981445,88
2.660975694656372,87
2.671902894973755,86
2.680119276046753,85
2.692415952682495,84
2.700622081756592,83
2.712744951248169,82
2.7211313247680664,81
2.7426600456237793,80
2.7465872764587402,79
2.753739833831787,78
2.7656829357147217,77
2.7752182483673096,76
2.7825753688812256,75
2.7947003841400146,74
2.8031299114227295,73
2.811187744140625,72
2.8234333992004395,71
2.8316516876220703,70
2.85404634475708,69
2.858032464981079,68
2.8651483058929443,67
2.8765411376953125,66
2.8848206996917725,65
2.893078565597534,64
2.9053282737731934,63
2.91365385055542,62
2.925717830657959,61
2.9342238903045654,60
2.9464070796966553,59
2.954676389694214,58
2.9742119312286377,57
2.982299327850342,56
2.9910950660705566,55
2.9981532096862793,54
3.005714178085327,53
3.0159730911254883,52
3.024280071258545,51
3.0364511013031006,50
3.04463267326355,49
3.0570549964904785,48
3.0652825832366943,47
3.0795516967773438,46
3.113464832305908,45
3.121445894241333,44
3.128037452697754,43
3.138582944869995,42
3.1507723331451416,41
3.1655499935150146,40
3.1676876544952393,39
3.17353892326355,38
3.1784064769744873,37
3.1797704696655273,36
3.188102960586548,35
3.2009735107421875,34
3.2213022708892822,33
3.2327611446380615,32
3.2406206130981445,31
3.24924635887146,30
3.262408971786499,29
3.2712440490722656,28
3.278499126434326,27
3.2905733585357666,26
3.2923707962036133,25
3.301884889602661,24
3.310858964920044,23
3.321267604827881,22
3.3526628017425537,21
3.3626222610473633,20
3.3701887130737305,19
3.377030849456787,18
3.3857123851776123,17
3.398390054702759,16
3.405628204345703,15
3.4153635501861572,14
3.4212753772735596,13
3.42322039604187,12
3.4298057556152344,11
3.44199275970459,10
3.450557231903076,9
3.4827611446380615,8
3.4909720420837402,7
3.498788595199585,6
3.5042502880096436,5
3.512955665588379,4
3.526364803314209,3
3.5337772369384766,2
3.5436818599700928,1
3.5493109226226807,1
3.552694797515869,2
3.5608749389648438,3
3.5762505531311035,4
3.6101083755493164,5
3.618518114089966,6
3.6267518997192383,7
3.6330981254577637,8
3.6382453441619873,9
3.6441874504089355,10
3.6537699699401855,11
3.663402795791626,12
3.6675660610198975,13
3.675265073776245,14
3.6853935718536377,15
3.7026543617248535,16
3.7062160968780518,17
3.71702241897583,18
3.724534749984741,19
3.7351839542388916,20
3.7458178997039795,21
3.7532637119293213,22
3.7655928134918213,23
3.7738070487976074,24
3.785935640335083,25
3.8101425170898438,26
3.8164236545562744,27
3.8200433254241943,28
3.8275039196014404,29
3.8362607955932617,30
3.8482601642608643,31
3.85567045211792,32
3.86784029006958,33
3.8763821125030518,34
3.8882811069488525,35
3.9099912643432617,36
3.91562557220459,37
3.919093608856201,38
3.9304723739624023,39
3.9385361671447754,40
3.9482085704803467,41
3.9580368995666504,42
3.966231346130371,43
3.9784369468688965,44
3.9866857528686523,45
3.998880624771118,46
4.007197141647339,47
4.0254199504852295,48
4.031472444534302,49
4.040092468261719,50
4.048337697982788,51
4.06025242805481,52
4.068857669830322,53
4.080739736557007,54
4.089219331741333,55
4.101291656494141,56
4.109791040420532,57
4.117774724960327,58
4.138671875,59
4.142549753189087,60
4.1508564949035645,61
4.159670352935791,62
4.171128988265991,63
4.180309057235718,64
4.191477060317993,65
4.199720859527588,66
4.212002754211426,67
4.220165252685547,68
4.23233962059021,69
4.242748260498047,70
4.259076356887817,71
4.265647649765015,72
4.2769529819488525,73
4.283529281616211,74
4.294816493988037,75
4.302039384841919,76
4.314244031906128,77
4.322596073150635,78
4.33076024055481,79
4.342990159988403,80
4.368420600891113,81
4.375141620635986,82
4.379157543182373,83
4.387744188308716,84
4.395490407943726,85
4.407532691955566,86
4.414068937301636,87
4.424899339675903,88
4.433331251144409,89
4.445336818695068,90
4.453680515289307,91
4.4678637981414795,92
4.487399339675903,93
4.493675231933594,94
4.49732232093811,95
4.510849714279175,96
4.516596555709839,97
4.524005889892578,98
4.535518646240234,99
4.547724008560181,100
4.556142091751099,100
4.564248085021973,99
4.5784690380096436,98
4.597111940383911,97
4.6020214557647705,96
4.61262845993042,95
4.619357585906982,94
4.630624771118164,93
4.6378138065338135,92
4.646191596984863,91
4.658363103866577,90
4.666632175445557,89
4.6787941455841064,88
4.687070608139038,87
4.709176778793335,86
4.712550163269043,85
4.720454454421997,84
4.728281259536743,83
4.738296985626221,82
4.748853445053101,81
4.756802558898926,80
4.768987417221069,79
4.777180433273315,78
4.789583683013916,77
4.797685146331787,76
4.818760871887207,75
4.824562311172485,74
4.832770586013794,73
4.839087009429932,72
4.851016283035278,71
4.859052419662476,70
4.871245622634888,69
4.879510164260864,68
4.891749382019043,67
4.900109767913818,66
4.912348747253418,65
4.920683145523071,64
4.936147451400757,63
4.941745758056641,62
4.9507200717926025,61
4.963839530944824,60
4.969850778579712,59
4.981989860534668,58
4.990161180496216,57
5.002423048019409,56
5.0105955600738525,55
5.023113965988159,54
5.038494110107422,53
5.043912172317505,52
5.051942586898804,51
5.063780784606934,50
5.073815822601318,49
5.084272146224976,48
5.092889070510864,47
5.10493803024292,46
5.113079309463501,45
5.125499963760376,44
5.1335060596466064,43
5.153199911117554,42
5.158295392990112,41
5.164927959442139,40
5.176190137863159,39
5.184627056121826,38
5.194942474365234,37
5.203168869018555,36
5.215624094009399,35
5.223931312561035,34
5.235939264297485,33
5.2450737953186035,32
5.258947134017944,31
5.264599800109863,30
5.277041435241699,29
5.286571502685547,28
5.297222852706909,27
5.305551290512085,26
5.317776918411255,25
5.326267719268799,24
5.334271430969238,23
5.34684157371521,22
5.354665756225586,21
5.376505136489868,20
5.3824622631073,19
5.387954235076904,18
5.400311231613159,17
5.408125162124634,16
5.416090965270996,15
5.428418874740601,14
5.436584949493408,13
5.448855876922607,12
5.457232236862183,11
5.469304084777832,10
5.477705001831055,9
5.494928359985352,8
5.500731468200684,7
5.5078208446502686,6
5.521623373031616,5
5.528921127319336,4
5.538833856582642,3
5.547182559967041,2
5.559468507766724,1
5.567670822143555,1
5.575861215591431,2
5.588197708129883,3
5.60982346534729,4
5.615042209625244,5
5.618618726730347,6
5.631406784057617,7
5.6382386684417725,8
5.649983167648315,9
5.658627271652222,10
5.670100450515747,11
5.678316831588745,12
5.690677642822266,13
5.698800563812256,14
5.711994171142578,15
5.731252193450928,16
5.73626184463501,17
5.740496397018433,18
5.754703760147095,19
5.767212867736816,20
5.772457838058472,21
5.780726194381714,22
5.792948961257935,23
5.801258563995361,24
5.813542366027832,25
5.821611166000366,26
5.8386616706848145,27
5.843852996826172,28
5.852985143661499,29
5.86513352394104,30
5.871184825897217,31
5.884353160858154,32
5.891249418258667,33
5.903553247451782,34
5.911741733551025,35
5.924132585525513,36
5.9459617137908936,37
5.95293927192688,38
5.958817958831787,39
5.9657206535339355,40
5.973876476287842,41
5.987375020980835,42
5.993644714355469,43
6.005913496017456,44
6.01444935798645,45
6.026484966278076,46
6.035017490386963,47
6.044515371322632,48
6.086921453475952,49
6.09891414642334,50
6.110838174819946,51
6.128434896469116,52
6.130122184753418,53
6.1441943645477295,54
6.14918065071106,55
6.15883207321167,56
6.164875745773315,57
6.166782379150391,58
6.170899152755737,59
6.17224907875061,60
6.1779584884643555,61
6.186253309249878,62
6.207403182983398,63
6.22916579246521,64
6.234317064285278,65
6.24014949798584,66
6.252582311630249,67
6.263131141662598,68
6.26800274848938,69
6.280843496322632,70
6.282649755477905,71
6.2889299392700195,72
6.296880722045898,73
6.309061288833618,74
6.317394733428955,75
6.346904039382935,76
6.357133865356445,77
6.3653564453125,78
6.376203536987305,79
6.3904547691345215,80
6.395704507827759,81
6.404913425445557,82
6.411529779434204,83
6.413379907608032,84
6.419609546661377,85
6.431750297546387,86
6.440887689590454,87
6.47561240196228,88
6.488290786743164,89
6.496793031692505,90
6.506113290786743,91
6.5206139087677,92
6.534632921218872,93
6.53818416595459,94
6.542893886566162,95
6.546563625335693,96
6.549532175064087,97
6.550900459289551,98
6.562903881072998,99
6.572139739990234,100
6.603424072265625,100
6.615009069442749,99
6.621442556381226,98
6.633301734924316,97
6.646731376647949,96
6.652016639709473,95
6.663728952407837,94
6.66741418838501,93
6.671968221664429,92
6.673925161361694,91
6.681900501251221,90
6.694088935852051,89
6.703992128372192,88
6.731684446334839,87
6.742532014846802,86
6.748888731002808,85
6.7578511238098145,84
6.766956090927124,83
6.77756667137146,82
6.7852783203125,81
6.797077655792236,80
6.80082631111145,79
6.805516004562378,78
6.816758871078491,77
6.825122117996216,76
6.837277412414551,75
6.856640338897705,74
6.864010810852051,73
6.868805885314941,72
6.878241539001465,71
6.88772439956665,70
6.896683931350708,69
6.907006502151489,68
6.915186882019043,67
6.92758584022522,66
6.935680150985718,65
6.960628271102905,64
6.966714382171631,63
6.971811056137085,62
6.977459907531738,61
6.9904444217681885,60
7.000304698944092,59
7.009279489517212,58
7.017616033554077,57
7.029738187789917,56
7.038440704345703,55
7.046304941177368,54
7.069547176361084,53
7.074153661727905,52
7.080087184906006,51
7.088153600692749,50
7.0996153354644775,49
7.109382390975952,48
7.119926691055298,47
7.128195285797119,46
7.140530824661255,45
7.148686170578003,44
7.16083025932312,43
7.175060272216797,42
7.181430339813232,41
7.193658828735352,40
7.202328681945801,39
7.210074186325073,38
7.222259521484375,37
7.230586528778076,36
7.242879390716553,35
7.251225233078003,34
7.25919508934021,33
7.271446466445923,32
7.280152320861816,31
7.292749881744385,30
7.301588535308838,29
7.316235780715942,28
7.325996398925781,27
7.3329017162323,26
7.34116530418396,25
7.353323936462402,24
7.361790180206299,23
7.374007225036621,22
7.382270812988281,21
7.402948617935181,20
7.409816265106201,19
7.41560959815979,18
7.427549123764038,17
7.43644642829895,16
7.443475961685181,15
7.45175313949585,14
7.46406364440918,13
7.472393751144409,12
7.484426736831665,11
7.49417781829834,10
7.508172273635864,9
7.513347625732422,8
7.52608585357666,7
7.534542798995972,6
7.541797876358032,5
